"Source","d13C","d15N","d34S","Concd13C","Concd15N","Concd34S"
"CRAVIR",-22.4879055260572,5.25416926052594,17.2878243098062,45.3507044393169,10.5672527622664,1.46054149309684
"CRAVIR",-24.6885549970264,5.8690315872767,16.0234391201701,42.0750103766878,7.17849385281676,1.32835054035428
"CRAVIR",-21.6976842273256,7.0877422786026,15.4248567645702,50.2325952046855,15.1484184509424,1.07618374599296
"CRAVIR",-22.4288890471675,6.38323173586795,14.4240185300735,36.0976787081846,10.3517676643382,1.01312928299309
"CRAVIR",-22.2906738978441,6.49482863160525,14.4186835714674,41.3264692387044,12.2560059423149,0.911235095140021
"CRAVIR",-21.5287716451006,7.1855350628789,14.9907106103773,44.950128890811,13.6014805200474,1.02448466443057
"CRAVIR",-21.8304235297293,6.24858268353821,15.1210597240024,51.9657506160096,15.6112031575215,1.0474437108688
"CRAVIR",-23.0571411938861,6.02180595858538,15.2556478331925,48.2911601357137,14.5971926647081,1.00411502908124
"CRAVIR",-22.0013595976856,6.11470359792077,15.5979467250698,37.5615196804087,11.2112215510809,1.14445964473175
"bostrychia",-25.1901118279709,7.75481482383347,20.7436550560594,36.6795589122883,3.57851097140033,2.33649614359241
"bostrychia",-26.051299503777,6.89186092653512,20.7404487982743,23.930724668089,2.0051990238675,3.24024403681393
"live spartina leaves and stems",-14.5634882317684,4.68539220244817,-11.8137552470319,38.7445960717113,1.61870799745376,0.330182684767693
"live mangrove leaves",-25.7519102274771,6.17172593681702,0.702406393630652,114.93573967916,1.71389200806317,0.632147957969987
"live spartina leaves and stems",-14.7553846547864,6.28411635274478,0.698131383250439,27.8236168087468,0.880002061901253,0.221440825540619
"live spartina leaves and stems",-14.2779948094378,4.1402409722204,-7.38163823534819,46.6576265753484,0.73037618964561,0.365724351737441
"live mangrove leaves",-25.1881217712443,6.29244266338769,2.01697208554551,43.3807662346738,2.12769261921376,0.594631859441191
"live mangrove leaves",-25.1441583973923,5.6234443536425,7.87587381162457,94.0470770649857,1.48609398572183,0.569284419589573
"bostrychia",-25.3190120683362,4.60250359771744,20.3764820730477,23.0692623195397,1.68115303409867,1.3606292557445
"bostrychia",-27.6935643739188,4.59065053373955,18.5185121531596,38.1352250381032,4.3374563192391,2.01748259946579
"live mangrove leaves",-25.3260554188791,5.8317007094313,-1.15187935878583,82.2801197120905,1.26386945601787,0.753379019258674
"live mangrove leaves",-24.9124054332126,6.05259155750693,7.32012246219715,77.6963474902451,2.26742154920183,0.865142689495684
"live mangrove leaves",-25.8463679182142,4.94023911878855,5.11144720283921,57.1148332499946,1.78815964518858,0.724807871427324
"live mangrove leaves",-28.0045526020403,6.33403864732834,0.357621828089099,51.664086826806,1.66359638576362,0.935658653069366
"live spartina leaves and stems",-14.8341436102096,3.72647108714664,2.84658970841666,37.5643178914704,0.792083775625738,0.525597170918723
"live spartina leaves and stems",-14.3220914308488,4.20936945571746,3.84385235171009,52.9102977740504,0.733995043713249,0.275446078187572
"live spartina leaves and stems",-14.010844027708,4.38403482307286,8.5691502996594,49.4362615349248,0.703280394730767,0.237887453708745
"live spartina leaves and stems",-13.9518091198383,4.71802514063182,-3.45076619074425,27.9457927652036,0.772527940428903,0.211286443054372
"live spartina leaves and stems",-14.8743045654536,3.68537335365125,-9.33076310359257,33.936880864802,1.09380163386755,1.14603643329229
"live spartina leaves and stems",-13.960642833653,3.84976428763281,-5.99655745989922,29.3588064557328,0.984161609130287,0.458559670546206
"live mangrove leaves",-25.5725485346237,5.28820904958908,13.2748343421598,54.1209867851074,1.52726456006792,0.362654387076658
"live mangrove leaves",-26.9416454525762,7.84681148194596,-1.957708281706,47.2042048284615,1.45176104466986,1.02799854688062
"live mangrove leaves",-26.8503723247127,3.97820460422236,8.69927891083005,37.0609905437082,0.957599442814407,0.643643422456521
"bostrychia",-26.0390556325927,7.40673186358058,21.4330021563436,41.1935219340376,4.5834412936207,2.17977194912923
"bostrychia",-24.0209053609442,11.1729946440099,19.9128122048008,38.2242766696882,4.51269662196185,2.48077746644749
"bostrychia",-28.0240201099839,3.16304779006081,21.1273372376834,33.8432873017863,2.12774483643423,2.10313206378169
"live spartina leaves and stems",-13.5991942364571,1.93871968009723,0.0106121983006924,39.2635966466381,0.553627287050753,0.262053856050359
"bostrychia",-27.1027495730751,5.58144945285986,20.7885426650516,46.0484652332273,4.02235725593988,2.96775495939137
"live mangrove leaves",-26.4892995637203,5.69718165164572,6.45122660241928,42.623075215271,0.79087382265358,0.645332840463152
"live spartina leaves and stems",-14.3146717024721,8.52941963271006,6.51214550033729,59.313004815941,2.23434735287685,0.579456782639578
"live spartina leaves and stems",-13.5875587915822,6.36615148582844,-3.41549735510751,23.2478896164293,0.669433681283944,0.353743434015367
"live spartina leaves and stems",-14.3405129363931,4.48650418990692,4.25494001958592,28.4847865314972,0.871599727300889,0.563434659555154
"bostrychia",-25.2976245632824,7.79796746892041,20.3558135600296,45.6277062616132,5.31222795131508,2.49981462131364
"live mangrove leaves",-26.233109789159,5.00614685466097,5.91355566992531,56.0300022891194,1.27196747450335,0.577320460057299
"live mangrove leaves",-26.1348351490594,3.44004533734175,9.02497841466748,57.6482464369781,1.12071404732304,0.501688218470019
"live spartina leaves and stems",-13.8005101590398,5.24052939466793,-8.57321167361198,64.0259571478675,1.72369999546525,0.406854978212458
"live spartina leaves and stems",-13.6160546415926,5.58144945285986,-11.3582317598458,35.277846682579,1.36788986490596,0.29771380755055
